Timestamp,What is your Isotropic username?,"If you have a Dominion Strategy Forum account, what is your forum account name?",Do you live in the United States?,Will you be able to attend US National Championships on July 14 in Chicago?,Are you 18 or older?
6/23/2012 8:06:39,jayarsea,jayarsea,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 8:35:08,WanderingWinder,WanderingWinder,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 10:41:33,pirate ship economist,no pawns intended,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 10:47:56,HiWay2Hello,HiWay2Hello,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 10:48:07,Personman,Personman,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 11:06:03,Polk5440,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 11:35:53,michaeljb,michaeljb,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 11:54:58,Jksmooth,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 12:00:25,CieloAzor,CieloAzor,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 12:02:50,Archetype,Archetype,Yes,No,"No, I am under 18"
6/23/2012 12:03:51,Archetype,Archetype,Yes,Yes,"No, I am under 18"
6/23/2012 12:44:48,Fading,darkmage2011,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 12:59:51,pkbrooklyn,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 13:01:17,nightdance,nightdance,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 13:15:47,Pram,shpanda,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 13:32:55,zxcvbn2,zxcvbn2,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 13:36:59,truK,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 14:46:03,bubblovat,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 15:09:08,Obi Wan Bonogi,Obi Wan Bonogi,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 15:36:12,Mic Qsenoch,Mic Qsenoch,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 16:03:32,allfail,timchen,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 17:13:25,farik,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 17:22:29,Stringer Bell,Stringer Bell,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 17:44:57,Hockeysemlan,,No,No,"Yes, I am 18 or older"
6/23/2012 17:53:49,knaacku,knaacku,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 18:47:30,TheBlueFool,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 18:55:50,Leucine Zipper,Leucine_Zipper,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 19:03:03,wannabe,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 20:37:25,Robz888,Robz888,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 20:43:21,Hawkeye,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 21:10:44,MalcolmMasher,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 21:17:08,pops,popsofctown,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 21:30:54,AHoppy,AHoppy,Yes,No,"Yes, I am 18 or older"
6/23/2012 22:42:22,hpjj,,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 23:03:17,Crimz,Crimz,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 23:13:20,sherwinpr,sherwinpr,Yes,Yes,"Yes, I am 18 or older"
6/23/2012 23:17:34,methods of rationality,methods of rationality,Yes,No,"Yes, I am 18 or older"
6/23/2012 23:58:13,atariman486,,Yes,Yes,"Yes, I am 18 or older"